PO_Number,Date,VendorName,Plant,Qty,UnitCost,Amount,PromisedDays,ActualDays,OnTime
501897,2025-04-15,Honeywell Sensing,Riverside Plant,115,426.58,49056.7,4,9,False
501898,2025-04-15,GE Power Systems,Riverside Plant,109,230.11,25081.99,26,29,False
501899,2025-04-15,Siemens Industrial,Rheinland Plant,946,435.59,412068.14,27,29,False
501900,2025-04-15,BearingWorks Ltd,Riverside Plant,261,132.28,34525.08,10,20,False
501901,2025-04-15,FastenRight Supply,Riverside Plant,930,492.68,458192.4,25,23,True
501902,2025-04-15,ElectroParts Co,Rheinland Plant,37,148.85,5507.45,23,28,False
501903,2025-04-15,Siemens Industrial,Riverside Plant,283,423.74,119918.42,3,8,False
501904,2025-04-16,PrecisionCast Foundry,Rheinland Plant,909,137.41,124905.69,6,10,False
501905,2025-04-16,SealTech Polymers,Rheinland Plant,30,375.47,11264.1,19,26,False
501906,2025-04-16,ElectroParts Co,Riverside Plant,301,322.3,97012.3,12,22,False
501907,2025-04-16,CopperLine Metals,Rheinland Plant,635,188.68,119811.8,7,10,False
501908,2025-04-16,Honeywell Sensing,Riverside Plant,916,185.84,170229.44,25,30,False
501909,2025-04-16,PrecisionCast Foundry,Riverside Plant,482,113.02,54475.64,19,26,False
501910,2025-04-16,Siemens Industrial,Riverside Plant,84,142.24,11948.16,24,35,False
501911,2025-04-17,ElectroParts Co,Riverside Plant,261,158.53,41376.33,12,16,False
501912,2025-04-17,GE Power Systems,Rheinland Plant,202,419.16,84670.32,4,3,True
501913,2025-04-17,Honeywell Sensing,Rheinland Plant,199,216.31,43045.69,18,26,False
501914,2025-04-17,CopperLine Metals,Rheinland Plant,914,490.6,448408.4,9,14,False
501915,2025-04-17,Siemens Industrial,Riverside Plant,701,207.5,145457.5,25,35,False
501916,2025-04-17,FastenRight Supply,Riverside Plant,920,241.38,222069.6,15,22,False
501917,2025-04-17,GE Power Systems,Riverside Plant,293,496.03,145336.79,3,4,False
501918,2025-04-17,FastenRight Supply,Riverside Plant,269,128.46,34555.74,24,35,False
501919,2025-04-18,PrecisionCast Foundry,Rheinland Plant,884,266.96,235992.64,4,2,True
501920,2025-04-18,SealTech Polymers,Riverside Plant,658,103.52,68116.16,21,22,False
501921,2025-04-18,PrecisionCast Foundry,Riverside Plant,930,189.7,176421.0,20,25,False
501922,2025-04-18,Siemens Industrial,Riverside Plant,26,77.16,2006.16,11,16,False
501923,2025-04-19,CopperLine Metals,Rheinland Plant,83,127.86,10612.38,18,16,True
501924,2025-04-19,PrecisionCast Foundry,Riverside Plant,649,435.93,282918.57,28,27,True
501925,2025-04-19,PrecisionCast Foundry,Riverside Plant,549,453.54,248993.46,27,36,False
501926,2025-04-19,SealTech Polymers,Riverside Plant,702,363.93,255478.86,7,6,True
501927,2025-04-19,Honeywell Sensing,Riverside Plant,646,453.91,293225.86,13,14,False
501928,2025-04-19,BearingWorks Ltd,Riverside Plant,706,184.11,129981.66,28,39,False
501929,2025-04-20,Honeywell Sensing,Rheinland Plant,870,32.18,27996.6,17,17,True
501930,2025-04-20,Siemens Industrial,Rheinland Plant,591,50.15,29638.65,27,25,True
501931,2025-04-20,Honeywell Sensing,Rheinland Plant,279,310.8,86713.2,10,14,False
501932,2025-04-21,Siemens Industrial,Rheinland Plant,130,55.25,7182.5,25,26,False
501933,2025-04-21,Honeywell Sensing,Riverside Plant,743,196.18,145761.74,25,25,True
501934,2025-04-21,FastenRight Supply,Riverside Plant,738,291.29,214972.02,9,20,False
501935,2025-04-21,PrecisionCast Foundry,Riverside Plant,280,207.86,58200.8,13,24,False
501936,2025-04-21,SealTech Polymers,Rheinland Plant,715,405.5,289932.5,17,28,False
501937,2025-04-21,Honeywell Sensing,Riverside Plant,440,279.15,122826.0,9,11,False
501938,2025-04-22,Honeywell Sensing,Rheinland Plant,840,420.53,353245.2,24,28,False
501939,2025-04-22,Siemens Industrial,Rheinland Plant,798,461.05,367917.9,6,11,False
501940,2025-04-22,NordSteel AG,Riverside Plant,544,343.05,186619.2,5,11,False
501941,2025-04-22,NordSteel AG,Riverside Plant,449,350.11,157199.39,18,22,False
501942,2025-04-22,FastenRight Supply,Riverside Plant,769,74.02,56921.38,16,16,True
501943,2025-04-23,CopperLine Metals,Riverside Plant,590,472.16,278574.4,25,24,True
501944,2025-04-23,SealTech Polymers,Rheinland Plant,308,89.46,27553.68,7,12,False
501945,2025-04-23,SealTech Polymers,Riverside Plant,818,119.46,97718.28,26,32,False
501946,2025-04-23,BearingWorks Ltd,Rheinland Plant,835,314.04,262223.4,22,33,False
501947,2025-04-23,PrecisionCast Foundry,Rheinland Plant,137,49.59,6793.83,15,26,False
501948,2025-04-23,BearingWorks Ltd,Riverside Plant,275,77.72,21373.0,28,36,False
501949,2025-04-23,GE Power Systems,Riverside Plant,672,498.72,335139.84,8,7,True
501950,2025-04-23,PrecisionCast Foundry,Rheinland Plant,257,385.82,99155.74,26,36,False
501951,2025-04-23,PrecisionCast Foundry,Riverside Plant,574,420.46,241344.04,19,19,True
501952,2025-04-24,FastenRight Supply,Riverside Plant,780,233.65,182247.0,7,17,False
501953,2025-04-24,PrecisionCast Foundry,Riverside Plant,103,413.22,42561.66,3,1,True
501954,2025-04-24,CopperLine Metals,Riverside Plant,630,486.51,306501.3,29,36,False
501955,2025-04-24,SealTech Polymers,Rheinland Plant,588,76.12,44758.56,3,13,False
501956,2025-04-24,SealTech Polymers,Riverside Plant,901,466.21,420055.21,17,18,False
501957,2025-04-24,PrecisionCast Foundry,Rheinland Plant,851,72.08,61340.08,28,31,False
501958,2025-04-24,Siemens Industrial,Rheinland Plant,857,166.44,142639.08,27,34,False
501959,2025-04-25,Siemens Industrial,Rheinland Plant,929,262.52,243881.08,15,22,False
501960,2025-04-26,GE Power Systems,Rheinland Plant,784,193.22,151484.48,22,26,False
501961,2025-04-26,GE Power Systems,Rheinland Plant,730,450.18,328631.4,11,10,True
501962,2025-04-26,SealTech Polymers,Rheinland Plant,352,61.72,21725.44,10,8,True
501963,2025-04-26,FastenRight Supply,Rheinland Plant,782,390.64,305480.48,15,14,True
501964,2025-04-26,NordSteel AG,Rheinland Plant,728,185.57,135094.96,4,15,False
501965,2025-04-27,ElectroParts Co,Rheinland Plant,963,378.93,364909.59,4,10,False
501966,2025-04-27,ElectroParts Co,Riverside Plant,900,82.45,74205.0,25,35,False
501967,2025-04-27,Siemens Industrial,Riverside Plant,631,38.63,24375.53,28,26,True
501968,2025-04-27,CopperLine Metals,Riverside Plant,372,101.52,37765.44,21,27,False
501969,2025-04-27,PrecisionCast Foundry,Rheinland Plant,774,191.81,148460.94,26,29,False
501970,2025-04-27,ElectroParts Co,Rheinland Plant,174,466.21,81120.54,13,14,False
501971,2025-04-27,SealTech Polymers,Rheinland Plant,725,104.11,75479.75,26,33,False
501972,2025-04-27,BearingWorks Ltd,Rheinland Plant,770,142.18,109478.6,29,32,False
501973,2025-04-27,BearingWorks Ltd,Riverside Plant,532,157.46,83768.72,28,30,False
501974,2025-04-27,SealTech Polymers,Rheinland Plant,380,387.9,147402.0,21,27,False
501975,2025-04-27,Honeywell Sensing,Riverside Plant,408,417.26,170242.08,27,35,False
501976,2025-04-28,CopperLine Metals,Rheinland Plant,24,343.02,8232.48,7,16,False
501977,2025-04-28,NordSteel AG,Rheinland Plant,544,454.45,247220.8,15,13,True
501978,2025-04-28,SealTech Polymers,Riverside Plant,615,266.31,163780.65,25,29,False
501979,2025-04-28,BearingWorks Ltd,Riverside Plant,401,272.41,109236.41,7,18,False
501980,2025-04-28,CopperLine Metals,Riverside Plant,274,313.97,86027.78,6,9,False
501981,2025-04-28,SealTech Polymers,Rheinland Plant,560,283.55,158788.0,14,18,False
501982,2025-04-29,NordSteel AG,Riverside Plant,176,239.17,42093.92,28,33,False
501983,2025-04-29,ElectroParts Co,Riverside Plant,306,265.17,81142.02,14,25,False
501984,2025-04-29,Siemens Industrial,Rheinland Plant,505,411.12,207615.6,23,34,False
501985,2025-04-29,CopperLine Metals,Riverside Plant,326,40.18,13098.68,4,12,False
501986,2025-04-29,ElectroParts Co,Rheinland Plant,773,306.52,236939.96,11,18,False
501987,2025-04-30,NordSteel AG,Riverside Plant,612,231.69,141794.28,26,25,True
501988,2025-04-30,SealTech Polymers,Rheinland Plant,796,106.5,84774.0,4,10,False
501989,2025-04-30,GE Power Systems,Riverside Plant,235,376.92,88576.2,22,33,False
501990,2025-04-30,ElectroParts Co,Rheinland Plant,109,298.44,32529.96,18,27,False
501991,2025-04-30,NordSteel AG,Riverside Plant,680,83.7,56916.0,26,36,False
501992,2025-05-01,Honeywell Sensing,Rheinland Plant,816,213.26,174020.16,22,25,False
501993,2025-05-01,NordSteel AG,Riverside Plant,765,306.89,234770.85,15,17,False
501994,2025-05-01,BearingWorks Ltd,Rheinland Plant,240,458.67,110080.8,11,14,False
501995,2025-05-01,ElectroParts Co,Rheinland Plant,872,220.82,192555.04,19,20,False
501996,2025-05-01,PrecisionCast Foundry,Riverside Plant,113,285.67,32280.71,19,24,False
501997,2025-05-01,Honeywell Sensing,Rheinland Plant,507,254.24,128899.68,13,22,False
501998,2025-05-01,GE Power Systems,Rheinland Plant,933,210.02,195948.66,23,34,False
501999,2025-05-01,BearingWorks Ltd,Rheinland Plant,525,263.25,138206.25,4,7,False
502000,2025-05-02,BearingWorks Ltd,Riverside Plant,783,50.53,39564.99,18,17,True
502001,2025-05-02,FastenRight Supply,Riverside Plant,861,410.49,353431.89,20,23,False
502002,2025-05-02,PrecisionCast Foundry,Riverside Plant,146,257.19,37549.74,14,15,False
502003,2025-05-02,FastenRight Supply,Riverside Plant,14,292.64,4096.96,20,27,False
502004,2025-05-02,SealTech Polymers,Rheinland Plant,465,390.35,181512.75,27,38,False
502005,2025-05-02,CopperLine Metals,Riverside Plant,222,151.19,33564.18,10,10,True
502006,2025-05-02,BearingWorks Ltd,Riverside Plant,466,434.89,202658.74,27,29,False
502007,2025-05-03,BearingWorks Ltd,Rheinland Plant,73,124.82,9111.86,25,27,False
502008,2025-05-03,Siemens Industrial,Riverside Plant,520,330.35,171782.0,24,27,False
502009,2025-05-03,BearingWorks Ltd,Rheinland Plant,411,102.99,42328.89,23,27,False
502010,2025-05-03,CopperLine Metals,Riverside Plant,84,178.98,15034.32,12,21,False
502011,2025-05-03,FastenRight Supply,Riverside Plant,911,222.07,202305.77,12,11,True
502012,2025-05-04,ElectroParts Co,Riverside Plant,577,15.09,8706.93,9,20,False
502013,2025-05-04,FastenRight Supply,Rheinland Plant,599,203.09,121650.91,5,13,False
502014,2025-05-04,BearingWorks Ltd,Riverside Plant,443,82.31,36463.33,12,19,False
502015,2025-05-04,Siemens Industrial,Rheinland Plant,517,190.41,98441.97,25,25,True
502016,2025-05-04,PrecisionCast Foundry,Riverside Plant,354,441.63,156337.02,14,21,False
502017,2025-05-04,GE Power Systems,Riverside Plant,456,237.63,108359.28,10,9,True
502018,2025-05-04,PrecisionCast Foundry,Rheinland Plant,365,28.17,10282.05,7,5,True
502019,2025-05-05,Honeywell Sensing,Rheinland Plant,117,246.79,28874.43,17,28,False
502020,2025-05-05,PrecisionCast Foundry,Riverside Plant,344,78.08,26859.52,16,25,False
502021,2025-05-05,PrecisionCast Foundry,Riverside Plant,909,409.14,371908.26,9,12,False
502022,2025-05-05,FastenRight Supply,Rheinland Plant,283,68.91,19501.53,6,6,True
502023,2025-05-05,FastenRight Supply,Rheinland Plant,193,491.42,94844.06,24,23,True
502024,2025-05-05,Honeywell Sensing,Riverside Plant,327,143.55,46940.85,8,16,False
502025,2025-05-05,ElectroParts Co,Rheinland Plant,656,301.74,197941.44,7,17,False
502026,2025-05-05,BearingWorks Ltd,Riverside Plant,283,462.76,130961.08,13,17,False
502027,2025-05-05,Honeywell Sensing,Riverside Plant,366,151.34,55390.44,29,31,False
502028,2025-05-05,Honeywell Sensing,Riverside Plant,797,230.13,183413.61,27,28,False
502029,2025-05-05,ElectroParts Co,Rheinland Plant,622,161.86,100676.92,28,38,False
502030,2025-05-05,ElectroParts Co,Riverside Plant,139,86.08,11965.12,23,31,False
502031,2025-05-06,BearingWorks Ltd,Rheinland Plant,359,452.68,162512.12,7,15,False
502032,2025-05-06,GE Power Systems,Riverside Plant,410,279.75,114697.5,6,4,True
502033,2025-05-06,GE Power Systems,Rheinland Plant,216,213.56,46128.96,10,11,False
502034,2025-05-07,NordSteel AG,Riverside Plant,527,218.84,115328.68,18,18,True
502035,2025-05-07,PrecisionCast Foundry,Rheinland Plant,220,164.81,36258.2,15,17,False
502036,2025-05-07,SealTech Polymers,Riverside Plant,474,241.36,114404.64,18,28,False
502037,2025-05-08,Siemens Industrial,Rheinland Plant,931,263.24,245076.44,3,5,False
502038,2025-05-08,SealTech Polymers,Rheinland Plant,579,87.0,50373.0,24,27,False
502039,2025-05-08,Honeywell Sensing,Riverside Plant,10,113.35,1133.5,18,19,False
502040,2025-05-08,SealTech Polymers,Riverside Plant,513,429.14,220148.82,3,11,False
502041,2025-05-08,CopperLine Metals,Rheinland Plant,270,21.69,5856.3,27,38,False
502042,2025-05-09,ElectroParts Co,Riverside Plant,152,402.66,61204.32,14,25,False
502043,2025-05-09,ElectroParts Co,Rheinland Plant,837,273.24,228701.88,21,30,False
502044,2025-05-09,PrecisionCast Foundry,Rheinland Plant,666,212.88,141778.08,9,14,False
502045,2025-05-09,SealTech Polymers,Riverside Plant,766,204.9,156953.4,26,34,False
502046,2025-05-10,CopperLine Metals,Riverside Plant,692,465.17,321897.64,27,30,False
502047,2025-05-10,BearingWorks Ltd,Rheinland Plant,444,141.17,62679.48,18,20,False
502048,2025-05-10,GE Power Systems,Rheinland Plant,962,281.2,270514.4,7,5,True
502049,2025-05-10,SealTech Polymers,Rheinland Plant,59,72.59,4282.81,13,11,True
502050,2025-05-11,NordSteel AG,Rheinland Plant,145,457.86,66389.7,21,28,False
502051,2025-05-11,PrecisionCast Foundry,Rheinland Plant,440,47.15,20746.0,25,35,False
502052,2025-05-11,CopperLine Metals,Rheinland Plant,444,229.63,101955.72,26,36,False
502053,2025-05-11,GE Power Systems,Riverside Plant,80,383.33,30666.4,13,16,False
502054,2025-05-11,BearingWorks Ltd,Rheinland Plant,644,18.33,11804.52,15,22,False
502055,2025-05-12,SealTech Polymers,Riverside Plant,899,460.8,414259.2,26,34,False
502056,2025-05-12,ElectroParts Co,Riverside Plant,425,216.25,91906.25,28,34,False
502057,2025-05-12,Honeywell Sensing,Rheinland Plant,870,100.01,87008.7,15,23,False
502058,2025-05-12,Siemens Industrial,Rheinland Plant,404,81.51,32930.04,17,24,False
502059,2025-05-12,CopperLine Metals,Rheinland Plant,459,411.94,189080.46,12,18,False
502060,2025-05-12,ElectroParts Co,Rheinland Plant,840,210.84,177105.6,18,20,False
502061,2025-05-12,PrecisionCast Foundry,Riverside Plant,934,190.68,178095.12,26,26,True
502062,2025-05-12,Honeywell Sensing,Riverside Plant,500,228.68,114340.0,20,20,True
502063,2025-05-13,PrecisionCast Foundry,Rheinland Plant,91,459.81,41842.71,10,12,False
502064,2025-05-13,BearingWorks Ltd,Riverside Plant,32,494.07,15810.24,3,4,False
502065,2025-05-13,PrecisionCast Foundry,Riverside Plant,510,452.73,230892.3,9,20,False
502066,2025-05-13,PrecisionCast Foundry,Riverside Plant,804,194.58,156442.32,24,34,False
502067,2025-05-13,ElectroParts Co,Riverside Plant,435,130.09,56589.15,23,32,False
502068,2025-05-14,FastenRight Supply,Riverside Plant,424,97.36,41280.64,27,31,False
502069,2025-05-14,BearingWorks Ltd,Rheinland Plant,206,328.39,67648.34,19,25,False
502070,2025-05-14,SealTech Polymers,Riverside Plant,62,31.23,1936.26,11,9,True
502071,2025-05-14,GE Power Systems,Riverside Plant,894,91.71,81988.74,12,23,False
502072,2025-05-14,Honeywell Sensing,Rheinland Plant,24,227.53,5460.72,29,33,False
502073,2025-05-14,FastenRight Supply,Riverside Plant,311,21.1,6562.1,23,21,True
502074,2025-05-14,Siemens Industrial,Rheinland Plant,920,118.51,109029.2,19,30,False
502075,2025-05-14,PrecisionCast Foundry,Rheinland Plant,648,66.83,43305.84,24,28,False
502076,2025-05-15,Honeywell Sensing,Rheinland Plant,239,448.03,107079.17,16,27,False
502077,2025-05-15,PrecisionCast Foundry,Riverside Plant,790,322.95,255130.5,14,19,False
502078,2025-05-15,SealTech Polymers,Rheinland Plant,289,422.02,121963.78,10,11,False
502079,2025-05-15,GE Power Systems,Riverside Plant,660,169.6,111936.0,14,22,False
502080,2025-05-15,ElectroParts Co,Rheinland Plant,639,13.19,8428.41,5,12,False
502081,2025-05-15,FastenRight Supply,Riverside Plant,735,206.63,151873.05,20,28,False
502082,2025-05-16,GE Power Systems,Rheinland Plant,299,412.46,123325.54,26,26,True
502083,2025-05-16,BearingWorks Ltd,Rheinland Plant,95,237.4,22553.0,24,28,False
502084,2025-05-16,BearingWorks Ltd,Riverside Plant,655,454.08,297422.4,16,27,False
502085,2025-05-16,NordSteel AG,Rheinland Plant,156,126.99,19810.44,11,10,True
502086,2025-05-16,GE Power Systems,Rheinland Plant,26,496.72,12914.72,20,23,False
502087,2025-05-17,Siemens Industrial,Riverside Plant,152,310.24,47156.48,5,15,False
502088,2025-05-18,CopperLine Metals,Riverside Plant,839,78.27,65668.53,13,24,False
502089,2025-05-18,CopperLine Metals,Rheinland Plant,201,488.98,98284.98,20,21,False
502090,2025-05-18,NordSteel AG,Riverside Plant,850,6.01,5108.5,21,20,True
502091,2025-05-18,Siemens Industrial,Rheinland Plant,206,284.88,58685.28,3,5,False
502092,2025-05-18,Honeywell Sensing,Riverside Plant,868,62.35,54119.8,3,8,False
502093,2025-05-19,SealTech Polymers,Riverside Plant,254,21.58,5481.32,12,10,True
502094,2025-05-19,ElectroParts Co,Rheinland Plant,897,443.11,397469.67,14,14,True
502095,2025-05-19,BearingWorks Ltd,Riverside Plant,254,499.46,126862.84,23,33,False
502096,2025-05-19,NordSteel AG,Rheinland Plant,507,206.58,104736.06,15,16,False
502097,2025-05-20,NordSteel AG,Rheinland Plant,211,380.15,80211.65,29,31,False
502098,2025-05-20,Siemens Industrial,Riverside Plant,799,166.97,133409.03,10,16,False
502099,2025-05-20,ElectroParts Co,Rheinland Plant,144,105.19,15147.36,10,21,False
502100,2025-05-20,GE Power Systems,Riverside Plant,162,165.23,26767.26,11,11,True
502101,2025-05-20,NordSteel AG,Riverside Plant,931,130.73,121709.63,13,20,False
502102,2025-05-21,SealTech Polymers,Riverside Plant,138,67.76,9350.88,10,14,False
502103,2025-05-21,GE Power Systems,Riverside Plant,668,67.65,45190.2,9,19,False
502104,2025-05-21,NordSteel AG,Riverside Plant,704,103.03,72533.12,16,15,True
502105,2025-05-21,ElectroParts Co,Riverside Plant,524,223.15,116930.6,25,35,False
502106,2025-05-22,BearingWorks Ltd,Rheinland Plant,107,130.15,13926.05,24,24,True
502107,2025-05-22,NordSteel AG,Riverside Plant,551,343.55,189296.05,14,20,False
502108,2025-05-22,SealTech Polymers,Riverside Plant,991,173.55,171988.05,4,8,False
502109,2025-05-22,CopperLine Metals,Rheinland Plant,123,341.48,42002.04,7,9,False
502110,2025-05-22,NordSteel AG,Riverside Plant,710,217.4,154354.0,8,9,False
502111,2025-05-22,GE Power Systems,Rheinland Plant,165,161.52,26650.8,19,17,True
502112,2025-05-23,ElectroParts Co,Riverside Plant,306,360.61,110346.66,5,11,False
502113,2025-05-23,NordSteel AG,Rheinland Plant,974,125.88,122607.12,10,17,False
502114,2025-05-23,Honeywell Sensing,Rheinland Plant,407,428.02,174204.14,27,28,False
502115,2025-05-23,ElectroParts Co,Riverside Plant,837,254.27,212823.99,14,25,False
502116,2025-05-23,BearingWorks Ltd,Rheinland Plant,998,496.78,495786.44,15,15,True
502117,2025-05-23,GE Power Systems,Riverside Plant,932,343.35,320002.2,21,25,False
502118,2025-05-23,BearingWorks Ltd,Riverside Plant,599,359.98,215628.02,11,10,True
502119,2025-05-23,CopperLine Metals,Rheinland Plant,933,288.0,268704.0,24,27,False
502120,2025-05-24,FastenRight Supply,Riverside Plant,695,159.01,110511.95,6,15,False
502121,2025-05-24,ElectroParts Co,Rheinland Plant,533,11.32,6033.56,29,40,False
502122,2025-05-24,PrecisionCast Foundry,Riverside Plant,170,306.31,52072.7,9,18,False
502123,2025-05-24,SealTech Polymers,Riverside Plant,428,272.38,116578.64,15,21,False
502124,2025-05-24,Honeywell Sensing,Rheinland Plant,623,308.89,192438.47,28,29,False
502125,2025-05-24,ElectroParts Co,Riverside Plant,187,381.3,71303.1,28,37,False
502126,2025-05-25,FastenRight Supply,Rheinland Plant,439,444.19,194999.41,16,19,False
502127,2025-05-25,CopperLine Metals,Rheinland Plant,601,486.82,292578.82,14,14,True
502128,2025-05-25,GE Power Systems,Riverside Plant,521,426.12,222008.52,16,18,False
502129,2025-05-25,FastenRight Supply,Riverside Plant,299,185.23,55383.77,15,16,False
502130,2025-05-25,SealTech Polymers,Riverside Plant,944,173.9,164161.6,12,16,False
502131,2025-05-25,BearingWorks Ltd,Rheinland Plant,42,94.15,3954.3,7,14,False
502132,2025-05-25,Honeywell Sensing,Riverside Plant,433,307.3,133060.9,19,21,False
502133,2025-05-25,BearingWorks Ltd,Rheinland Plant,320,468.91,150051.2,16,27,False
502134,2025-05-25,NordSteel AG,Riverside Plant,807,12.08,9748.56,17,17,True
502135,2025-05-26,NordSteel AG,Riverside Plant,551,70.27,38718.77,4,7,False
502136,2025-05-26,GE Power Systems,Riverside Plant,314,15.49,4863.86,12,18,False
502137,2025-05-26,PrecisionCast Foundry,Rheinland Plant,139,359.22,49931.58,27,25,True
502138,2025-05-26,BearingWorks Ltd,Rheinland Plant,308,413.52,127364.16,6,6,True
502139,2025-05-27,Siemens Industrial,Riverside Plant,156,210.63,32858.28,5,10,False
502140,2025-05-27,GE Power Systems,Riverside Plant,226,359.68,81287.68,7,17,False
502141,2025-05-27,ElectroParts Co,Riverside Plant,748,92.85,69451.8,15,21,False
502142,2025-05-27,Siemens Industrial,Riverside Plant,549,40.51,22239.99,13,12,True
502143,2025-05-27,SealTech Polymers,Rheinland Plant,717,51.65,37033.05,24,22,True
502144,2025-05-27,BearingWorks Ltd,Riverside Plant,483,472.9,228410.7,22,23,False
502145,2025-05-28,Honeywell Sensing,Riverside Plant,641,110.34,70727.94,16,26,False
502146,2025-05-28,FastenRight Supply,Rheinland Plant,418,472.56,197530.08,19,24,False
502147,2025-05-28,FastenRight Supply,Riverside Plant,694,25.33,17579.02,11,19,False
502148,2025-05-28,Siemens Industrial,Riverside Plant,806,115.51,93101.06,7,16,False
502149,2025-05-29,FastenRight Supply,Riverside Plant,977,186.29,182005.33,25,35,False
502150,2025-05-29,Siemens Industrial,Rheinland Plant,218,255.88,55781.84,23,25,False
502151,2025-05-29,FastenRight Supply,Rheinland Plant,46,446.23,20526.58,20,19,True
502152,2025-05-29,GE Power Systems,Riverside Plant,931,312.88,291291.28,4,9,False
502153,2025-05-29,PrecisionCast Foundry,Rheinland Plant,979,337.03,329952.37,27,37,False
502154,2025-05-29,BearingWorks Ltd,Rheinland Plant,271,404.0,109484.0,10,14,False
502155,2025-05-29,CopperLine Metals,Riverside Plant,569,355.41,202228.29,8,13,False
502156,2025-05-29,ElectroParts Co,Rheinland Plant,32,406.15,12996.8,16,26,False
502157,2025-05-30,PrecisionCast Foundry,Rheinland Plant,316,19.23,6076.68,26,31,False
502158,2025-05-30,NordSteel AG,Riverside Plant,240,384.31,92234.4,12,10,True
502159,2025-05-30,CopperLine Metals,Riverside Plant,360,194.25,69930.0,6,17,False
502160,2025-05-30,FastenRight Supply,Rheinland Plant,687,380.59,261465.33,7,13,False
502161,2025-05-30,ElectroParts Co,Rheinland Plant,930,492.91,458406.3,15,21,False
502162,2025-05-30,SealTech Polymers,Rheinland Plant,504,467.75,235746.0,11,11,True
502163,2025-05-31,GE Power Systems,Riverside Plant,538,38.63,20782.94,20,27,False
502164,2025-05-31,NordSteel AG,Rheinland Plant,872,119.94,104587.68,20,20,True
502165,2025-05-31,GE Power Systems,Riverside Plant,335,127.67,42769.45,26,33,False
502166,2025-05-31,CopperLine Metals,Rheinland Plant,688,168.35,115824.8,6,15,False
502167,2025-05-31,FastenRight Supply,Riverside Plant,232,87.34,20262.88,11,9,True
502168,2025-05-31,BearingWorks Ltd,Rheinland Plant,970,59.98,58180.6,28,29,False
502169,2025-06-01,Honeywell Sensing,Rheinland Plant,115,318.67,36647.05,28,29,False
502170,2025-06-01,Siemens Industrial,Rheinland Plant,360,43.09,15512.4,4,9,False
502171,2025-06-01,FastenRight Supply,Rheinland Plant,418,104.55,43701.9,20,24,False
502172,2025-06-01,PrecisionCast Foundry,Rheinland Plant,637,66.29,42226.73,22,33,False
502173,2025-06-01,PrecisionCast Foundry,Riverside Plant,722,58.45,42200.9,29,34,False
502174,2025-06-01,Siemens Industrial,Rheinland Plant,902,257.29,232075.58,13,14,False
502175,2025-06-02,Siemens Industrial,Riverside Plant,924,275.66,254709.84,3,5,False
502176,2025-06-02,NordSteel AG,Rheinland Plant,890,30.6,27234.0,12,19,False
502177,2025-06-02,ElectroParts Co,Rheinland Plant,573,282.8,162044.4,27,31,False
502178,2025-06-02,FastenRight Supply,Riverside Plant,242,325.3,78722.6,7,5,True
502179,2025-06-03,Honeywell Sensing,Rheinland Plant,408,460.19,187757.52,28,39,False
502180,2025-06-03,GE Power Systems,Rheinland Plant,155,47.02,7288.1,12,12,True
502181,2025-06-04,BearingWorks Ltd,Riverside Plant,245,5.53,1354.85,4,4,True
502182,2025-06-04,NordSteel AG,Riverside Plant,798,240.4,191839.2,20,25,False
502183,2025-06-04,BearingWorks Ltd,Rheinland Plant,402,202.25,81304.5,23,22,True
502184,2025-06-04,FastenRight Supply,Riverside Plant,214,392.85,84069.9,23,30,False
502185,2025-06-04,GE Power Systems,Rheinland Plant,837,240.64,201415.68,29,29,True
502186,2025-06-04,NordSteel AG,Riverside Plant,72,52.66,3791.52,11,20,False
502187,2025-06-05,Siemens Industrial,Rheinland Plant,838,320.97,268972.86,18,23,False
502188,2025-06-05,Honeywell Sensing,Riverside Plant,705,188.83,133125.15,16,24,False
502189,2025-06-05,Siemens Industrial,Riverside Plant,94,466.38,43839.72,28,32,False
502190,2025-06-05,SealTech Polymers,Rheinland Plant,954,8.46,8070.84,7,5,True
502191,2025-06-05,ElectroParts Co,Riverside Plant,389,190.68,74174.52,27,34,False
502192,2025-06-06,ElectroParts Co,Riverside Plant,960,290.68,279052.8,3,2,True
502193,2025-06-06,Siemens Industrial,Rheinland Plant,512,408.87,209341.44,14,16,False
502194,2025-06-06,Siemens Industrial,Rheinland Plant,119,461.87,54962.53,29,38,False
502195,2025-06-06,SealTech Polymers,Rheinland Plant,440,464.63,204437.2,26,35,False
502196,2025-06-06,BearingWorks Ltd,Riverside Plant,51,119.56,6097.56,21,27,False
502197,2025-06-07,SealTech Polymers,Riverside Plant,942,12.61,11878.62,14,15,False
502198,2025-06-07,ElectroParts Co,Rheinland Plant,105,410.49,43101.45,18,17,True
502199,2025-06-07,Honeywell Sensing,Riverside Plant,620,344.79,213769.8,25,25,True
502200,2025-06-07,Siemens Industrial,Rheinland Plant,867,317.13,274951.71,6,7,False
502201,2025-06-07,FastenRight Supply,Riverside Plant,370,66.26,24516.2,27,31,False
502202,2025-06-07,NordSteel AG,Riverside Plant,656,343.27,225185.12,5,11,False
502203,2025-06-07,CopperLine Metals,Riverside Plant,406,281.3,114207.8,22,32,False
502204,2025-06-07,PrecisionCast Foundry,Rheinland Plant,25,315.38,7884.5,25,33,False
502205,2025-06-07,Siemens Industrial,Riverside Plant,874,316.54,276655.96,15,21,False
502206,2025-06-08,PrecisionCast Foundry,Rheinland Plant,619,242.47,150088.93,4,2,True
